Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Friedman	Jason		C	IL07	2025	8/17/2025	10070300
	Friedman	Jason		X	IL07	2025	5/9/2025	8220886
Hon.	Friedman	Laura		P	CA30	2025	9/9/2025	20032051
	Furman	Jay Commander		X	TX28	2025	5/22/2025	30023899
	Gagnier	Christina		C	CA40	2025	8/13/2025	10068772
	Gagnier	Christina		X	CA40	2025	5/9/2025	8220868
	Gaines	Brad		X	TN06	2025	9/29/2025	30025441
	Gaines	Houston		X	GA10	2025	8/25/2025	30025388
	Galan-Woods	Marlene		C	AZ01	2025	8/13/2025	10066591
	Galan-Woods	Marlene		X	AZ01	2025	5/14/2025	30023232
	Gallant	Christopher		X	NY01	2025	8/25/2025	30025386
	Gambaro	Charles		C	FL06	2025	8/28/2025	10072301
Hon.	Garbarino	Andrew		P	NY02	2025	8/21/2025	20030952
	Garcia	Eric		C	CA22	2025	7/22/2025	10071866
Hon.	Garcia	Michael		T	CA27	2025	1/8/2025	10063229
Mr.	Garza	Mauro Everett		C	TX34	2025	2/21/2025	10063422
	Gebo	Nicholas		D	NJ05	2025	9/17/2025	40004832
	Gibbs	Jason		C	CA27	2025	7/28/2025	10071835
Hon.	Gill	Brandon		P	TX26	2025	5/30/2025	20030417
Hon.	Gill	Brandon		P	TX26	2025	7/10/2025	20030641
Hon.	Gill	Brandon		P	TX26	2025	8/12/2025	20030889
	Girard	Elizabeth		X	NH01	2025	9/24/2025	30025428
	Giusto	Andrews		C	VT00	2025	5/5/2025	10067372
Hon.	Goldman	Daniel		P	NY10	2025	3/28/2025	20027916
	Goldman	Mo		C	AZ06	2025	8/15/2025	10067621
	Goldman	Mo		X	AZ06	2025	5/22/2025	30023542
	Gomez Noriega	Valentina		C	TX31	2025	5/14/2025	10068923
Mr.	Gonzalez	Diego	Jr.	C	IN01	2025	5/7/2025	10067651
	Gonzalez	Robert Thomas		A	CA28	2025	9/19/2025	10072512
	Gonzalez	Robert Thomas		C	CA28	2025	9/19/2025	10072511
Hon.	Gonzalez	Vicente		P	TX34	2025	3/13/2025	8220796
Hon.	Gonzalez	Vicente		P	TX34	2025	3/31/2025	8220809
Hon.	Gonzalez	Vicente		P	TX34	2025	4/30/2025	8220845
Hon.	Gonzalez Colon	Jenniffer		X	PR00	2025	1/31/2025	30022492
Hon.	Gonzalez-Colon	Jenniffer		T	PR00	2025	5/28/2025	10063342
Hon.	Good	Robert G.		T	VA05	2025	4/28/2025	10063325
Hon.	Good	Robert G.		X	VA05	2025	1/29/2025	30022486
	Gordon	Mark Robert		X	AZ01	2025	8/1/2025	30025331
Hon.	Gottheimer	Josh		P	NJ05	2025	1/14/2025	20026533
Hon.	Gottheimer	Josh		P	NJ05	2025	2/10/2025	20026732
Hon.	Gottheimer	Josh		P	NJ05	2025	3/6/2025	20027901
Hon.	Gottheimer	Josh		P	NJ05	2025	4/10/2025	20029083
Hon.	Gottheimer	Josh		P	NJ05	2025	5/14/2025	20030338
Hon.	Gottheimer	Josh		P	NJ05	2025	6/11/2025	20030462
Hon.	Gottheimer	Josh		P	NJ05	2025	7/16/2025	20030621
Hon.	Gottheimer	Josh		P	NJ05	2025	8/11/2025	20030848
Hon.	Gottheimer	Josh		P	NJ05	2025	9/5/2025	20031032
	Graham	James Henry		C	IN09	2025	8/8/2025	10068408
	Graham	James Henry		X	IN09	2025	5/22/2025	30023568
	Grandy	Sierra Marie		X	MN06	2025	7/22/2025	30025323
	Grantham	Travis W.		C	AZ05	2025	7/24/2025	10069049
	Grantham	Travis W.		X	AZ05	2025	5/22/2025	30023896
Hon.	Graves	Garret		T	LA06	2025	2/8/2025	10063371
	Gray	John		C	VA07	2025	6/14/2025	10071552
Hon.	Green	Mark Dr		P	TN07	2025	1/13/2025	20026538
Hon.	Green	Mark Dr		P	TN07	2025	2/6/2025	20026701
Hon.	Green	Mark Dr		P	TN07	2025	2/28/2025	20027845
Hon.	Green	Mark Dr		P	TN07	2025	3/5/2025	20027900
Hon.	Green	Mark Dr		P	TN07	2025	4/8/2025	20029097
Hon.	Green	Mark Dr		P	TN07	2025	5/12/2025	20030331
Hon.	Green	Mark Dr		P	TN07	2025	6/6/2025	20030441
Hon.	Green	Mark Dr		P	TN07	2025	7/16/2025	20030579
Hon.	Green	Mark Dr		T	TN07	2025	8/12/2025	10071977
	Greene	Clifford Mark		D	WA09	2025	3/24/2025	40003734
Hon.	Greene	Marjorie Taylor		P	GA14	2025	1/27/2025	20026658
Hon.	Greene	Marjorie Taylor		P	GA14	2025	2/14/2025	20026791
Hon.	Greene	Marjorie Taylor		P	GA14	2025	3/9/2025	20027933
Hon.	Greene	Marjorie Taylor		P	GA14	2025	3/19/2025	20028002
Hon.	Greene	Marjorie Taylor		P	GA14	2025	3/23/2025	20028016
Hon.	Greene	Marjorie Taylor		P	GA14	2025	3/26/2025	20029028
Hon.	Greene	Marjorie Taylor		P	GA14	2025	4/7/2025	20029089
Hon.	Greene	Marjorie Taylor		P	GA14	2025	4/11/2025	20029138
Hon.	Greene	Marjorie Taylor		P	GA14	2025	5/6/2025	20030295
Hon.	Greene	Marjorie Taylor		P	GA14	2025	5/19/2025	20030389
Hon.	Greene	Marjorie Taylor		P	GA14	2025	6/18/2025	20030539
Hon.	Greene	Marjorie Taylor		P	GA14	2025	6/23/2025	20030548
Hon.	Greene	Marjorie Taylor		P	GA14	2025	7/22/2025	20030711
Hon.	Greene	Marjorie Taylor		P	GA14	2025	8/15/2025	20030924
Hon.	Greene	Marjorie Taylor		P	GA14	2025	8/15/2025	20030925
Hon.	Greene	Marjorie Taylor		P	GA14	2025	8/20/2025	20030944
Hon.	Greene	Marjorie Taylor		P	GA14	2025	8/29/2025	20030996
Hon.	Greene	Marjorie Taylor		P	GA14	2025	9/27/2025	20032174
	Greene-Scott	Marquette		C	TX22	2025	7/31/2025	10071949
	Greimel	Tim		C	MI10	2025	8/13/2025	10066287
	Greimel	Tim		X	MI10	2025	5/14/2025	30022721
	Grijalva	Adelita		C	AZ07	2025	5/15/2025	10068048
	Guinchard	Mary Jo-Ann		C	NJ05	2025	5/6/2025	10067537
	Gurfein	Jared		X	FL23	2025	8/1/2025	30025326
	Hagglund	Bob		C	WA08	2025	7/31/2025	10071952
	Hall	Donyale London		C	DE00	2025	3/15/2025	10063542
	Hall	Heidi		C	CA03	2025	7/1/2025	10067020
	Hall	Heidi		X	CA03	2025	5/22/2025	30023153
Mr.	Hall	Thomas David		D	IN04	2025	7/10/2025	40004796
	Halpin	Patrick		X	NY02	2025	8/12/2025	30025365
	Hanson	Carter		C	CO01	2025	8/5/2025	10072001
Dr.	Hardy	Kimberly		C	NC07	2025	9/2/2025	10071945
	Harjes	Christopher John		C	NC11	2025	8/12/2025	10070330
	Harjes	Christopher John		X	NC11	2025	5/28/2025	30024003
	Harman	Isabelle A.		C	PA10	2025	9/21/2025	10072493
	Harmon	Antonette		D	FL11	2025	8/1/2025	40004806
	Harmon	Antonette		W	FL11	2025	8/1/2025	8018
Hon.	Harrigan	Pat		X	NC10	2025	5/15/2025	8220939
Mr.	Harris	Diop Jermaine	II	C	MI04	2025	6/30/2025	10070304
	Harris	Jonathan		X	FL16	2025	6/12/2025	30024159
	Harrison	Raven		C	FL23	2025	8/1/2025	10071651
	Harvie	Robert J.		X	PA01	2025	5/14/2025	30022948
	Harvie	Robert J.	Jr.	C	PA01	2025	8/13/2025	10067019
	Hassan	Amir		X	MI08	2025	8/12/2025	30025358
	Hawbaker	Brandon		C	TX10	2025	8/5/2025	10066338
	Hawbaker	Brandon		D	TX10	2025	5/19/2025	40004763
	Hawkins	Alexander		C	MI10	2025	6/18/2025	10070358
	Hawks	Nathan Thomas		C	TX24	2025	7/29/2025	10071926
Mr.	Hawn	Joel Derek		C	TN03	2025	1/27/2025	10063312
Dr.	Hayes	James Dr		A	PA12	2025	8/13/2025	10072180
Dr.	Hayes	James Dr		C	PA12	2025	8/13/2025	10066970
Dr.	Hayes	James Dr		X	PA12	2025	5/14/2025	30022930
	Headrick	Nathan		W	VA11	2025	9/11/2025	8024
	Headrick	Nathan		X	VA11	2025	6/12/2025	30024169
	Heidenreich	Michael		D	WI06	2025	8/1/2025	40004810
	Heise	Gregor Heinrich		C	TX30	2025	9/11/2025	10070528
	Heise	Gregor Heinrich		X	TX30	2025	6/18/2025	30024191
	Hennrich	Brent William		C	WA03	2025	6/10/2025	10070501
	Herman	Lester		C	CA30	2025	9/15/2025	10072452
Hon.	Hern	Kevin		P	OK01	2025	1/15/2025	20026597
Hon.	Hern	Kevin		P	OK01	2025	2/14/2025	20026794
Hon.	Hern	Kevin		P	OK01	2025	4/23/2025	20030185
Hon.	Hern	Kevin		P	OK01	2025	5/13/2025	20030339
	Hernandez	Daniel		C	AZ07	2025	5/8/2025	10067704
	Hewitt	Dylan		C	NY21	2025	5/16/2025	10069194
Dr.	Hill	Aaron		C	NV04	2025	5/7/2025	10067416
	Hill	Grant D.		C	IA01	2025	5/6/2025	10067538
Hon.	Hill	James French		P	AR02	2025	2/4/2025	20026706
Hon.	Hill	James French		P	AR02	2025	7/24/2025	20030551
	Hill	Jamie		D	MI02	2025	7/7/2025	40004789
	Hines	Christina		C	MI10	2025	7/29/2025	10071722
Mr.	Hocevar	Christopher John	II	C	AR03	2025	9/8/2025	10072392
	Honer	Bradley J.		C	AZ04	2025	3/13/2025	10063488
	Horowitz	Zurit Zuriel		C	CO05	2025	6/3/2025	10070422
Mr.	Howard	Greg	Jr.	C	AL05	2025	4/30/2025	10067053
Hon.	Hoyle	Valerie		P	OR04	2025	9/12/2025	20032070
	Hsu	John		C	NJ06	2025	8/25/2025	10072296
	Hualde	Brian		D	AZ05	2025	9/17/2025	40004838
	Hubbard	Chuck		C	NC05	2025	3/25/2025	10063595
Dr.	Hudspeth	Richard		X	NC11	2025	9/29/2025	30025443
Mr.	Huebner	David P.		D	NE03	2025	5/19/2025	40004773
	Huey	Stephen		C	TX18	2025	8/17/2025	10072231
Mr.	Huffman	Ronald R.		C	CA25	2025	6/29/2025	10068498
	Huffman	Zackary Blake		D	AR02	2025	9/17/2025	40004830
	Hunt	Evan		C	TX03	2025	6/11/2025	10067114
	Hunt	Evan		X	TX03	2025	5/22/2025	30023429
	Hunt	Tracy		X	PA01	2025	9/8/2025	30025407
	Hunter	Marvalette		C	TX38	2025	8/10/2025	10072071
	Hustedt-Mai	Anthony D.		C	IN04	2025	7/16/2025	10071803
	Hutchison	Evan Hale		C	NY10	2025	5/15/2025	10069177
	Huynh	Khai-Hoan		X	IL09	2025	8/5/2025	30025342
	Ingram	James Ronald		C	MO06	2025	3/6/2025	10063475
	Irizarry	Christopher		X	FL12	2025	6/26/2025	30025214
Hon.	Issa	Darrell E.		P	CA48	2025	4/17/2025	20030181
	Jackley	Marty		C	SD00	2025	8/23/2025	10072281
Hon.	Jackson	Jeff		T	NC14	2025	5/2/2025	10063246
Hon.	Jackson	Jeff		X	NC14	2025	1/10/2025	30022468
Hon.	Jackson	Jonathan		P	IL01	2025	1/16/2025	20026545
Hon.	Jackson	Jonathan		P	IL01	2025	4/8/2025	20029065
Hon.	Jackson	Jonathan		P	IL01	2025	5/13/2025	20030283
Hon.	Jackson	Jonathan		P	IL01	2025	6/13/2025	20030452
Hon.	Jackson	Jonathan		P	IL01	2025	7/14/2025	20030599
Hon.	Jackson	Jonathan		P	IL01	2025	8/25/2025	20030860
Hon.	Jackson	Jonathan		P	IL01	2025	9/23/2025	20031023
	Jacob	Mitchell Leigh		A	OK04	2025	9/7/2025	10072386
	Jacob	Mitchell Leigh		C	OK04	2025	9/5/2025	10072368
	James	Christopher Lee		C	AZ05	2025	8/5/2025	10072000
	Jasser	M. Zuhdi		X	AZ04	2025	9/4/2025	9115633
	Jaye	Brian Steven		C	MI10	2025	5/5/2025	10067412
	Jefferson	Cyril		X	NC06	2025	8/21/2025	30025374
Ms.	Jewett	Lauren Ashley		C	LA01	2025	8/29/2025	10072291
	Johnson	Bethany		D	IL09	2025	8/1/2025	40004812
	Johnson	Bethany		X	IL09	2025	8/1/2025	30025330
	Johnson	Christian Rashad		C	LA06	2025	5/14/2025	10068866
	Johnson	Eli		D	FL05	2025	9/17/2025	40004831
	Johnson	Jacob		C	MN01	2025	8/13/2025	9115621
	Johnson	Jacob		X	MN01	2025	6/2/2025	8220980
Hon.	Johnson	Julie		P	TX32	2025	2/12/2025	20026762
Hon.	Johnson	Julie		P	TX32	2025	3/12/2025	20027936
Hon.	Johnson	Julie		P	TX32	2025	4/14/2025	20029064
Hon.	Johnson	Julie		P	TX32	2025	5/14/2025	20030296
Hon.	Johnson	Julie		P	TX32	2025	6/13/2025	20030474
Hon.	Johnson	Julie		P	TX32	2025	7/14/2025	20030647
Hon.	Johnson	Julie		P	TX32	2025	8/14/2025	20030909
Hon.	Johnson	Julie		P	TX32	2025	9/11/2025	20032066
	Johnston	Mark Edmund		C	NE02	2025	7/21/2025	10070387
	Johnston	Mark Edmund		X	NE02	2025	6/2/2025	8220978
	Jones	Gian A.		X	NY04	2025	5/14/2025	30023320
	Jones	Laura		C	TX08	2025	8/22/2025	10072285
Mr.	Joseph	Rodenay		C	FL20	2025	4/23/2025	10066608
Hon.	Joyce	David P.		P	OH14	2025	2/7/2025	20026736
	Kastenbaum	Diana K.		C	NY24	2025	9/27/2025	10071932
	Kastenbaum	Diana K.		X	NY24	2025	8/5/2025	30025340
	Kastenbaum	Diana K.		X	NY24	2025	9/3/2025	30025392
	Kaye	Mark		X	FL05	2025	5/7/2025	30022894
Hon.	Kean	Thomas H.	Jr	P	NJ07	2025	1/22/2025	20026591
Hon.	Kean	Thomas H.	Jr	P	NJ07	2025	2/19/2025	20026802
Hon.	Kean	Thomas H.	Jr	P	NJ07	2025	3/14/2025	20027931
Hon.	Kean	Thomas H.	Jr	P	NJ07	2025	4/18/2025	20030155
Hon.	Kean	Thomas H.	Jr	P	NJ07	2025	5/15/2025	20030275
Hon.	Kean	Thomas H.	Jr	P	NJ07	2025	6/17/2025	20030491
Hon.	Kean	Thomas H.	Jr	P	NJ07	2025	7/16/2025	20030671
Hon.	Kean	Thomas H.	Jr	P	NJ07	2025	8/20/2025	20030946
Hon.	Kean	Thomas H.	Jr	P	NJ07	2025	9/18/2025	20032089
Hon.	Keating	William R.		P	MA09	2025	1/15/2025	20026556
Hon.	Keating	William R.		P	MA09	2025	2/25/2025	20027837
Hon.	Keating	William R.		P	MA09	2025	3/21/2025	20028007
Hon.	Keating	William R.		P	MA09	2025	6/23/2025	20030174
Hon.	Keating	William R.		P	MA09	2025	9/4/2025	20031014
	Keissieh	Claude Manuel		C	CA41	2025	9/9/2025	10072406
Mrs.	Kelley	Erica Elizabeth		C	OH05	2025	7/17/2025	10071814
	Kelloff	Alexander George		C	CO03	2025	8/27/2025	10070268
	Kelloff	Alexander George		X	CO03	2025	5/28/2025	30024000
	Kelloff	Alexander George		X	CO03	2025	5/28/2025	30024005
Hon.	Kelly	Mike		P	PA16	2025	1/9/2025	20026550
Hon.	Kelly	Mike		P	PA16	2025	2/14/2025	20026792
Hon.	Kelly	Mike		P	PA16	2025	7/9/2025	20030639
Hon.	Kelly	Mike		P	PA16	2025	8/12/2025	20030892
Hon.	Kennedy	Mike		P	UT03	2025	6/20/2025	20030542
	Keohokalole	Jarrett		X	HI01	2025	9/3/2025	30025395
	Kerr	Joseph		C	CA40	2025	8/11/2025	10072044
	Ketchum	Zachary		W	MI03	2025	8/1/2025	8019
	Khanna	Lisa Vedernikova		X	VA01	2025	7/15/2025	30025258
Hon.	Khanna	Rohit		P	CA17	2025	2/6/2025	8220750
Hon.	Khanna	Rohit		P	CA17	2025	3/6/2025	8220783
Hon.	Khanna	Rohit		P	CA17	2025	4/10/2025	8220827
Hon.	Khanna	Rohit		P	CA17	2025	5/12/2025	8220906
Hon.	Khanna	Rohit		P	CA17	2025	6/10/2025	8221124
Hon.	Khanna	Rohit		P	CA17	2025	7/9/2025	8221176
Hon.	Khanna	Rohit		P	CA17	2025	8/7/2025	9115671
Hon.	Khanna	Rohit		P	CA17	2025	9/9/2025	9115676
	Khot	Neil		C	IL08	2025	7/10/2025	10071751
Hon.	Kildee	Daniel T.		T	MI08	2025	1/8/2025	10063228
	Killin	Jessica Willow		X	CO05	2025	8/1/2025	30025333
Hon.	Kilmer	Derek		T	WA06	2025	1/27/2025	10063259
Dr.	Kim	Heerak Christian		D	VA08	2025	5/19/2025	40004765
	King	Joely Faren		C	IL01	2025	9/4/2025	10072374
	Kingston	James Morris		X	GA01	2025	7/15/2025	8221188
	Kinter	Marialana		C	FL07	2025	6/8/2025	10070460
	Kistner	Tyler		C	MN02	2025	6/13/2025	10070529
	Kitover	John		C	IL16	2025	7/7/2025	10071728
	Klein	Matthew David		C	MN02	2025	6/1/2025	10070258
	Klimm	Sarah Renee		X	PA11	2025	7/8/2025	30025249
	Knight	Jason		C	TN07	2025	7/23/2025	10071868
Mr.	Knoles	Ricky Patric		C	FL04	2025	4/11/2025	10064676
Hon.	Knott	Brad		P	NC13	2025	2/25/2025	20027846
Hon.	Knott	Brad		X	NC13	2025	5/15/2025	8220930
	Konfrst	Jennifer		C	IA03	2025	9/5/2025	10070440
	Konfrst	Jennifer		X	IA03	2025	6/12/2025	30024154
	Koslow	Michael S.		C	CA26	2025	5/14/2025	10068939
	Krause	Ryan P.		C	TX35	2025	7/14/2025	10071576
	Krause	Ryan P.		X	TX35	2025	6/26/2025	30025212
	Kruttiventi	Vin		C	CA13	2025	5/14/2025	10068805
Hon.	Kuster	Ann M.		T	NH02	2025	5/22/2025	8220960
Hon.	Kuster	Ann M.		X	NH02	2025	1/16/2025	30022475
	Lamba	Harinder Singh		C	CA08	2025	9/8/2025	10072385
Hon.	Lamborn	Doug		T	CO05	2025	2/11/2025	8220766
	Lamondin	Richard		X	FL27	2025	6/4/2025	30024013
Hon.	Landsman	Greg		P	OH01	2025	1/15/2025	20026551
Hon.	Landsman	Greg		P	OH01	2025	3/5/2025	20027885
Hon.	Landsman	Greg		P	OH01	2025	4/8/2025	20029084
Hon.	Landsman	Greg		P	OH01	2025	5/13/2025	20030207
	Larivee	Kevin		W	MA06	2025	5/19/2025	8007
	Larivee	Kevin		X	MA06	2025	5/22/2025	30023524
Hon.	Larsen	Rick		P	WA02	2025	1/14/2025	20026587
Hon.	Larsen	Rick		P	WA02	2025	4/15/2025	20030158
	Laster	Justin		C	GA08	2025	2/20/2025	10063413
Hon.	Latimer	George		X	NY16	2025	5/9/2025	8220889
Hon.	Latta	Robert E.		P	OH05	2025	1/24/2025	20026650
Hon.	Latta	Robert E.		P	OH05	2025	4/27/2025	20030234
Hon.	Latta	Robert E.		P	OH05	2025	6/8/2025	20030480
Hon.	Latta	Robert E.		P	OH05	2025	7/25/2025	20030730
Hon.	LaTurner	Jake		T	KS02	2025	5/2/2025	10063344
Hon.	LaTurner	Jake		X	KS02	2025	2/1/2025	30022493
	Laubacher	Eileen		C	CO04	2025	9/2/2025	10070404
	Laubacher	Eileen		X	CO04	2025	6/12/2025	30024020
	Lawrence	William		X	MI07	2025	9/24/2025	30025425
Hon.	Lee	Barbara		T	CA12	2025	5/5/2025	10063262
Hon.	Lee	Barbara		X	CA12	2025	1/27/2025	30022484
Hon.	Lee	Laurel		P	FL15	2025	1/7/2025	20026513
Hon.	Lee	Laurel		P	FL15	2025	6/22/2025	20030458
Hon.	Lee	Laurel		P	FL15	2025	8/9/2025	20030810
Hon.	Lee	Laurel		P	FL15	2025	8/11/2025	20030875
Hon.	Lee	Susie		P	NV03	2025	3/14/2025	20027805
Hon.	Lee	Susie		P	NV03	2025	4/11/2025	20029082
Hon.	Lee	Susie		P	NV03	2025	7/10/2025	20030558
Hon.	Lee	Susie		P	NV03	2025	8/22/2025	20030822
	Leigh	Danica David		C	IL07	2025	8/19/2025	10072253
	Leonard	Mark Andrew		X	CA45	2025	4/29/2025	30022654
	Lepage	Paul		C	ME02	2025	6/4/2025	8221081
	Lesko	Debbie		T	AZ08	2025	1/31/2025	10063271
	Lester	Joe Nathan		D	GA13	2025	6/9/2025	40004784
	Levine	Jake		X	CA32	2025	9/3/2025	30025398
	Levine	Matthew		C	MO06	2025	6/9/2025	10070487
	Lewis	Keven Paul		D	ID02	2025	5/19/2025	40003758
	Light	David		D	OH11	2025	8/4/2025	9115572
	Limon	Santos M.		X	TX23	2025	6/26/2025	8221168
	Limon	Tracy L Mft		C	IA03	2025	3/13/2025	10063535
	Lincoln	Kevin J.	II	X	CA09	2025	8/25/2025	30025385
	Linderman	Hank		C	KY02	2025	8/9/2025	10068213
	Linderman	Hank		X	KY02	2025	5/22/2025	30023478
	Lineberger	Ernest Robinson	III	C	TX26	2025	5/4/2025	10067268
	Little	Matt		C	MN02	2025	8/30/2025	9115640
	Little	Matt		X	MN02	2025	6/6/2025	8221113
	Lloyd	Tanya W.		C	TX27	2025	7/1/2025	10071692
	Lombardo	Todd		C	CA37	2025	8/4/2025	10071853
	Lombardo	Todd		D	CA37	2025	7/14/2025	8221180
	London	Steven		X	NV03	2025	5/28/2025	30024002
Hon.	Lopez	Greg		T	CO04	2025	2/3/2025	10063348
	Lorenz	Andrew		C	MI13	2025	7/15/2025	10071796
	Loyd	Joshua		C	IL13	2025	3/3/2025	10063446
	Lucchetti	Andrew		X	VA01	2025	8/5/2025	9115564
	Lucio	Daniel Lee		D	AZ01	2025	9/17/2025	40004839
Hon.	Luetkemeyer	Blaine		T	MO03	2025	1/16/2025	8220737
	Lujan	John		X	TX35	2025	9/29/2025	30025450
	Lulgjuraj	Robert		C	MI10	2025	8/13/2025	10072008
Dr.	Lux	Emily Athena		C	IL13	2025	7/9/2025	10071602
	MacAllister	Robert Tyler		C	MA09	2025	8/2/2025	10071966
	Males	Joe		C	CA25	2025	8/4/2025	10067539
	Males	Joe		X	CA25	2025	5/14/2025	30023175
	Manley	Elijah		A	FL20	2025	5/16/2025	10069214
	Manley	Elijah		C	FL20	2025	5/16/2025	10069207
	Mann	Bethany		X	MO03	2025	5/22/2025	30023839
Hon.	Manning	Kathy		P	NC06	2025	1/27/2025	20026638
Hon.	Manning	Kathy		P	NC06	2025	4/21/2025	20029046
Hon.	Manning	Kathy		T	NC06	2025	4/21/2025	10063235
Hon.	Manning	Kathy		X	NC06	2025	1/9/2025	30022466
	Marchant	Jim		C	NV01	2025	5/26/2025	10070322
	Marin	Grady		W	OH08	2025	5/19/2025	8009
	Marin	Grady		X	OH08	2025	5/22/2025	30023993
	Marks	William James		C	TX25	2025	9/3/2025	10070270
	Marks	William James		X	TX25	2025	6/4/2025	30024019
	Marques	Rhett		C	AL01	2025	9/14/2025	10072438
	Marschall	Joey		D	WI06	2025	8/1/2025	40004804
Mr.	Marter	James Thomas		C	IL14	2025	5/13/2025	10067563
	Martinez	Tekita		D	IL07	2025	8/25/2025	9115636
	Martinez Nucete	Leo		X	VA11	2025	6/12/2025	8221145
	Mason-Hill	Elizabeth A.		C	KY04	2025	4/7/2025	10064660
	Mason-Hill	Elizabeth A.		W	KY04	2025	5/19/2025	8003
	Masuda	Michael		C	CA05	2025	7/27/2025	10070510
	Masuda	Michael		X	CA05	2025	6/18/2025	30024172
	Maxwell	Christian		X	IL01	2025	6/12/2025	30024153
	Mayfield	Darius		C	VA07	2025	8/13/2025	10067613
	Mayfield	Darius		X	VA07	2025	5/15/2025	8220931
	Mayfield	Darius		X	VA07	2025	6/2/2025	8221071
	McAuley	Darren		X	FL15	2025	8/25/2025	30025390
	McCann	Sean		X	MI04	2025	8/21/2025	30025367
Hon.	McCaul	Michael T.		P	TX10	2025	2/11/2025	8220754
Hon.	McCaul	Michael T.		P	TX10	2025	4/17/2025	8220834
Hon.	McCaul	Michael T.		P	TX10	2025	5/12/2025	8220904
Hon.	McCaul	Michael T.		P	TX10	2025	6/9/2025	8221120
Hon.	McCaul	Michael T.		P	TX10	2025	7/7/2025	8221173
Hon.	McCaul	Michael T.		P	TX10	2025	8/12/2025	9115664
Hon.	McCaul	Michael T.		P	TX10	2025	9/11/2025	9115677
Hon.	McCaul	Michael T.		P	TX10	2025	9/25/2025	9115662
Hon.	McClain	Lisa		P	MI09	2025	8/13/2025	20030891
Hon.	McClain	Lisa		P	MI09	2025	9/12/2025	20030932
	McClintock	Charlie		X	IA02	2025	9/29/2025	30025440
	McClure	Lamont		C	PA07	2025	8/6/2025	10063543
	McClure	Lamont		X	PA07	2025	3/24/2025	30022519
	McCombs	John		C	IL07	2025	7/6/2025	10071710
	McCombs	John		D	IL07	2025	6/23/2025	8221179
	McConkey	Josh		X	NC13	2025	5/14/2025	30023319
	McConnell	Jack		D	TX31	2025	3/3/2025	40003721
	McConnell	Jack		D	TX31	2025	3/3/2025	40003730
	McCord	Ernest Michael		C	GA01	2025	8/24/2025	10072295
Hon.	McCormick	Richard Dean Dr		P	GA06	2025	9/17/2025	20030699
	McDonough	Melissa A.		C	TX38	2025	6/1/2025	10070394
	McDowell	Chase		C	VA02	2025	5/1/2025	10066857
	McGowan	Chris		X	IA04	2025	8/5/2025	9115565
Hon.	McGuire	John		P	VA05	2025	5/16/2025	20016861
Hon.	McGuire	John		P	VA05	2025	6/12/2025	20030509
Hon.	McGuire	John		P	VA05	2025	7/10/2025	20030620
Hon.	McHenry	Patrick T.		T	NC10	2025	1/31/2025	10063331
	McKenzie	Ronald		X	GA13	2025	5/28/2025	30024001
	McQueen	Eldon Dan		C	TX21	2025	5/12/2025	10068054
	Meade	Perry		X	CA40	2025	8/27/2025	9115627
	Mealer	Alexandra		X	TX09	2025	9/24/2025	30025433
	Mendez	Christian		C	CA40	2025	7/10/2025	10071756
	Mendoza	Jo		C	AZ06	2025	8/13/2025	10068892
	Mendoza	Joanna		X	AZ06	2025	5/22/2025	30023824
	Menefee	Christian D.		C	TX18	2025	8/11/2025	10068368
	Menefee	Christian D.		X	TX18	2025	6/2/2025	8220988
	Merrin	Derek		C	OH09	2025	7/29/2025	10071832
	Metwally	Amr		C	FL21	2025	8/19/2025	10072255
Hon.	Meuser	Daniel		P	PA09	2025	8/13/2025	20030884
Hon.	Meuser	Daniel		P	PA09	2025	8/20/2025	20030922
Mr.	Meyer	Bradley Allen		A	IN09	2025	5/28/2025	10070351
Mr.	Meyer	Bradley Allen		C	IN09	2025	5/27/2025	10070348
	Miller	Brian		C	NY04	2025	9/16/2025	10072466
Hon.	Miller	Carol Devine		P	WV01	2025	4/11/2025	20029135
	Miller	Matt Davies		D	NY13	2025	6/9/2025	40004785
Hon.	Miller	Max		P	OH07	2025	1/31/2025	20026684
Hon.	Miller	Max		P	OH07	2025	2/24/2025	20027838
Hon.	Miller	Max		P	OH07	2025	3/27/2025	20029035
Hon.	Miller	Max		P	OH07	2025	4/28/2025	20030236
Hon.	Miller	Max		P	OH07	2025	5/22/2025	20030401
Hon.	Miller	Max		P	OH07	2025	7/1/2025	20030585
Hon.	Miller	Max		P	OH07	2025	7/27/2025	20030742
Hon.	Miller	Max		P	OH07	2025	8/28/2025	20030989
	Million	Lauren		C	IL09	2025	7/18/2025	10071819
Mr.	Mills	Ralph John	III	D	MS04	2025	9/17/2025	40004834
Hon.	Min	Dave		P	CA47	2025	4/14/2025	20029100
	Mink	Austin James		W	IL10	2025	6/3/2025	8010
	Miranda	Hunter Garcia		C	CA47	2025	6/26/2025	10071656
	Mitchell	James Bo		C	TN07	2025	8/21/2025	10072250
	Mitchell	Ken		C	VA06	2025	7/5/2025	10071718
	Moburg	Haiden William		C	GA07	2025	2/14/2025	10063386
Hon.	Molinaro	Marcus J.		T	NY19	2025	1/31/2025	10063317
	Monday	Christopher Brian		C	TN06	2025	6/10/2025	10070502
	Montanez Berrios (Dmb)	Deliris		D	TX16	2025	5/19/2025	40004778
